dataset_id,dataset_label,analysis_id,analysis_group,measure,direction,question,reference_condition,target_condition,observed_reference,observed_target,observed_target_minus_reference,emmean_reference,emmean_target,emmean_reference_ci_low,emmean_reference_ci_high,emmean_target_ci_low,emmean_target_ci_high,fixed_effect_estimate,fixed_effect_ci_low,fixed_effect_ci_high,fixed_effect_statistic,fixed_effect_p,model_error
gpt2_overlap_core,GPT-2 lexical-overlap CORE,overall_prime_active_vs_passive,overall_prime_contrast,choice,passive,Does a passive prime yield more passive preference than an active prime?,active,passive,0.8346153846153848,1,0.16538461538461524,0.8346154010199125,0.999999999526328,0.8180164662800047,0.8499779922454687,0.897725136826755,0.9999999999999998,19.851808603388495,0.5536780640706027,39.14993914270639,2.0161968441114655,0.043779396312888484,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,baseline_eos_vs_empty,baseline_bias,choice,passive,Is the empty baseline more passive-biased than the EOS baseline?,no_prime_eos,no_prime_empty,0.985576923076923,0.9966346153846153,0.011057692307692268,0.9999903063309185,0.9999999776964231,0.9999902884858237,0.9999903241432228,0.9999999776380246,0.9999999777546692,6.074490888650991,6.072633039203171,6.076348738098811,6408.368223886184,0,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,baseline_eos_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the EOS baseline?,no_prime_eos,filler,0.985576923076923,0.9937500000000001,0.008173076923077116,0.9999706576532004,0.9999986785101207,0.9992737299955968,0.9999988153200826,0.9999652424545261,0.9999999497582667,3.100299980656712,1.9164853958873738,4.28411456542605,5.132962865583683,2.852161968040892e-7,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,baseline_empty_vs_filler,baseline_bias,choice,passive,Is the filler baseline more passive-biased than the empty baseline?,no_prime_empty,filler,0.9966346153846153,0.9937500000000001,-0.0028846153846151523,0.9999993709124605,0.9999921829584235,0.9999851750048625,0.9999999733055054,0.9999326588560168,0.9999990926360872,-2.5197982153874356,-4.660249963157194,-0.379346467617677,-2.3073230945820487,0.021036814980548015,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,active_priming_vs_no_prime_eos,active_priming,choice,active,Does an active prime increase active preference relative to the EOS baseline?,no_prime_eos,active,0.014423076923076905,0.16538461538461527,0.15096153846153837,5.090581415720185e-12,6.737805299095e-6,2.3046317580410315e-12,1.1244320946100182e-11,3.116006933295651e-6,1.4569232389066653e-5,14.095859493308923,13.773309474656031,14.418409511961816,85.6530005901296,0,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,active_priming_vs_no_prime_empty,active_priming,choice,active,Does an active prime increase active preference relative to the empty baseline?,no_prime_empty,active,0.0033653846153845882,0.16538461538461527,0.1620192307692307,3.365666371566373e-12,1.0553470249942942e-5,3.3246442594596947e-12,3.4071946472052544e-12,1.042851086708361e-5,1.067992693963701e-5,14.958349877291518,14.95495649423571,14.961743260347326,8639.704550143157,0,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,active_priming_vs_filler,active_priming,choice,active,Does an active prime increase active preference relative to the filler baseline?,filler,active,0.006249999999999936,0.16538461538461527,0.15913461538461532,2.5070805751482752e-11,1.2389549175442122e-5,2.5045453786804795e-11,2.5096183378387418e-11,1.2371597105650552e-5,1.2407527294644153e-5,13.110672204660482,13.109634449828308,13.111709959492655,24761.576181154185,0,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,passive_priming_vs_no_prime_eos,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the EOS baseline?,no_prime_eos,passive,0.985576923076923,1,0.014423076923076983,0.9855769222352654,0.9999999998390737,0.9794380033276144,0.9899019231076367,1.9671328451600945e-11,0.9999999999999998,18.32567740069052,-28.87507930643964,65.52643410782068,0.7609553363839878,0.4466837448511201,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,passive_priming_vs_no_prime_empty,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the empty baseline?,no_prime_empty,passive,0.9966346153846153,1,0.0033653846153847145,0.996634617404315,0.999999999941512,0.9929464191632227,0.9983974316034403,2.2204460492503126e-16,0.9999999999999998,17.87135707777269,-78.69077369855945,114.43348785410483,0.3627427848337704,0.7167970357623343,NA
gpt2_overlap_core,GPT-2 lexical-overlap CORE,passive_priming_vs_filler,passive_priming,choice,passive,Does a passive prime increase passive preference relative to the filler baseline?,filler,passive,0.9937500000000001,1,0.006249999999999867,0.9937499990991184,0.9999999999413165,0.9892567552206036,0.9963708872565067,2.2204460492503126e-16,0.9999999999999998,18.489957993643998,-109.73332441445908,146.71324040174707,0.2826292625067796,0.7774610462724276,NA
