item_index,prompt_column,prime_condition,target_active,target_passive,greedy_answer_first_sentence,generation_class
0,prompt_active,active,the brother understood the buddy .,the buddy was understood by the brother .,The brother followed the buddy .,other
0,prompt_passive,passive,the brother understood the buddy .,the buddy was understood by the brother .,The brother is followed by the buddy .,other
0,prompt_no_prime,no_prime,the brother understood the buddy .,the buddy was understood by the brother .,The brother did it .,other
0,prompt_filler,filler,the brother understood the buddy .,the buddy was understood by the brother .,The lantern glowed near sunset .,other
1,prompt_active,active,a princess raises a professor .,a professor is raised by a princess .,The princess raised the professor .,active_structural
1,prompt_passive,passive,a princess raises a professor .,a professor is raised by a princess .,The professor was raised by the princess .,passive_structural
1,prompt_no_prime,no_prime,a princess raises a professor .,a professor is raised by a princess .,The princess was raised by the professor .,other
1,prompt_filler,filler,a princess raises a professor .,a professor is raised by a princess .,The professor was raised .,other
2,prompt_active,active,a pilot destroys a president .,a president is destroyed by a pilot .,The pilot destroyed the president .,active_structural
2,prompt_passive,passive,a pilot destroys a president .,a president is destroyed by a pilot .,The president was destroyed by the pilot .,passive_structural
2,prompt_no_prime,no_prime,a pilot destroys a president .,a president is destroyed by a pilot .,The pilot was destroyed by the president .,other
2,prompt_filler,filler,a pilot destroys a president .,a president is destroyed by a pilot .,The president was killed .,other
3,prompt_active,active,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher raised the uncle .,active_structural
3,prompt_passive,passive,a teacher raises an uncle .,an uncle is raised by a teacher .,The uncle was raised by the teacher .,passive_structural
3,prompt_no_prime,no_prime,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher raised the money .,other
3,prompt_filler,filler,a teacher raises an uncle .,an uncle is raised by a teacher .,The teacher was hit by the uncle .,other
4,prompt_active,active,the mother taught the nurse .,the nurse was taught by the mother .,The mother taught the nurse .,active_exact
4,prompt_passive,passive,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught by the mother .,passive_exact
4,prompt_no_prime,no_prime,the mother taught the nurse .,the nurse was taught by the mother .,The mother was the one who taught the nurse .,active_structural
4,prompt_filler,filler,the mother taught the nurse .,the nurse was taught by the mother .,The nurse was taught .,other
5,prompt_active,active,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_passive,passive,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_no_prime,no_prime,the cop punched the cousin .,the cousin was punched by the cop .,The cop punched the cousin .,active_exact
5,prompt_filler,filler,the cop punched the cousin .,the cousin was punched by the cop .,The painter waited near the doorway .,other
6,prompt_active,active,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
6,prompt_passive,passive,a priest washes a prince .,a prince is washed by a priest .,The prince was washed by the priest .,passive_structural
6,prompt_no_prime,no_prime,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
6,prompt_filler,filler,a priest washes a prince .,a prince is washed by a priest .,The priest washed the prince .,active_structural
7,prompt_active,active,an employer selects a father .,a father is selected by an employer .,The employer selected the father .,active_structural
7,prompt_passive,passive,an employer selects a father .,a father is selected by an employer .,The father was selected by the employer .,passive_structural
