item_index,prime_active_sentence,prime_passive_sentence,target_active,target_passive,filler_sentence,event_style,role_style,quote_style,role_order,prompt_active,prompt_passive,prompt_no_prime,prompt_filler
0,a doctor grabs an employee .,an employee is grabbed by a doctor .,the actor asked the actress .,the actress was asked by the actor .,The lantern glowed near sunset .,involving_event,did_to,mary_answered,agent_first,"There was a grabbing event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""A doctor grabs an employee.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a grabbing event involving a doctor and an employee.
The one who did it was a doctor.
The one it happened to was an employee.

Bridget asked, ""What happened?""
Mary answered, ""An employee is grabbed by a doctor.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

There was an asking event involving the actor and the actress.
The one who did it was the actor.
The one it happened to was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The"
1,a soldier forgot a son .,a son was forgotten by a soldier .,the actress asks the adult .,the adult is asked by the actress .,The traveler rested beside the river .,involving_event,did_to,mary_answered,agent_first,"There was a forgetting event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A soldier forgot a son.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgetting event involving a soldier and a son.
The one who did it was a soldier.
The one it happened to was a son.

Bridget asked, ""What happened?""
Mary answered, ""A son was forgotten by a soldier.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The traveler rested beside the river.""

There was an asking event involving the actress and the adult.
The one who did it was the actress.
The one it happened to was the adult.

Bridget asked, ""What happened?""
Mary answered, ""The"
2,the guest forgives the guy .,the guy is forgiven by the guest .,an adult asked an attorney .,an attorney was asked by an adult .,The notebook stayed on the shelf .,involving_event,did_to,mary_answered,agent_first,"There was a forgiving event involving the guest and the guy.
The one who did it was the guest.
The one it happened to was the guy.

Bridget asked, ""What happened?""
Mary answered, ""The guest forgives the guy.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a forgiving event involving the guest and the guy.
The one who did it was the guest.
The one it happened to was the guy.

Bridget asked, ""What happened?""
Mary answered, ""The guy is forgiven by the guest.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The notebook stayed on the shelf.""

There was an asking event involving an adult and an attorney.
The one who did it was an adult.
The one it happened to was an attorney.

Bridget asked, ""What happened?""
Mary answered, ""The"
3,the girl beat the guest .,the guest was beaten by the girl .,an attorney asks an aunt .,an aunt is asked by an attorney .,The window rattled during the storm .,involving_event,did_to,mary_answered,agent_first,"There was a beating event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The girl beat the guest.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a beating event involving the girl and the guest.
The one who did it was the girl.
The one it happened to was the guest.

Bridget asked, ""What happened?""
Mary answered, ""The guest was beaten by the girl.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The window rattled during the storm.""

There was an asking event involving an attorney and an aunt.
The one who did it was an attorney.
The one it happened to was an aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
4,a friend bothers a girl .,a girl is bothered by a friend .,the aunt asked the author .,the author was asked by the aunt .,The singer smiled after rehearsal .,involving_event,did_to,mary_answered,patient_first,"There was a bothering event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""A friend bothers a girl.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a bothering event involving a friend and a girl.
The one it happened to was a girl.
The one who did it was a friend.

Bridget asked, ""What happened?""
Mary answered, ""A girl is bothered by a friend.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The singer smiled after rehearsal.""

There was an asking event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The"
5,a prince surprised a princess .,a princess was surprised by a prince .,the author asks the bishop .,the bishop is asked by the author .,The painter waited near the doorway .,involving_event,did_to,mary_answered,patient_first,"There was a surprising event involving a prince and a princess.
The one it happened to was a princess.
The one who did it was a prince.

Bridget asked, ""What happened?""
Mary answered, ""A prince surprised a princess.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a surprising event involving a prince and a princess.
The one it happened to was a princess.
The one who did it was a prince.

Bridget asked, ""What happened?""
Mary answered, ""A princess was surprised by a prince.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The painter waited near the doorway.""

There was an asking event involving the author and the bishop.
The one it happened to was the bishop.
The one who did it was the author.

Bridget asked, ""What happened?""
Mary answered, ""The"
6,the actress kills the adult .,the adult is killed by the actress .,a bishop asked a boy .,a boy was asked by a bishop .,The engine cooled before dawn .,involving_event,did_to,mary_answered,patient_first,"There was a killing event involving the actress and the adult.
The one it happened to was the adult.
The one who did it was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The actress kills the adult.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a killing event involving the actress and the adult.
The one it happened to was the adult.
The one who did it was the actress.

Bridget asked, ""What happened?""
Mary answered, ""The adult is killed by the actress.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The engine cooled before dawn.""

There was an asking event involving a bishop and a boy.
The one it happened to was a boy.
The one who did it was a bishop.

Bridget asked, ""What happened?""
Mary answered, ""The"
7,the aunt caught the author .,the author was caught by the aunt .,a boy asks a brother .,a brother is asked by a boy .,The market opened after sunrise .,involving_event,did_to,mary_answered,patient_first,"There was a catching event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The aunt caught the author.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a catching event involving the aunt and the author.
The one it happened to was the author.
The one who did it was the aunt.

Bridget asked, ""What happened?""
Mary answered, ""The author was caught by the aunt.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The market opened after sunrise.""

There was an asking event involving a boy and a brother.
The one it happened to was a brother.
The one who did it was a boy.

Bridget asked, ""What happened?""
Mary answered, ""The"
8,a secretary protects a sheriff .,a sheriff is protected by a secretary .,the brother asked the buddy .,the buddy was asked by the brother .,The blanket dried on the line .,involving_event,did_to,mary_answered,agent_first,"There was a protecting event involving a secretary and a sheriff.
The one who did it was a secretary.
The one it happened to was a sheriff.

Bridget asked, ""What happened?""
Mary answered, ""A secretary protects a sheriff.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a protecting event involving a secretary and a sheriff.
The one who did it was a secretary.
The one it happened to was a sheriff.

Bridget asked, ""What happened?""
Mary answered, ""A sheriff is protected by a secretary.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The blanket dried on the line.""

There was an asking event involving the brother and the buddy.
The one who did it was the brother.
The one it happened to was the buddy.

Bridget asked, ""What happened?""
Mary answered, ""The"
9,a daughter dragged a doctor .,a doctor was dragged by a daughter .,the buddy asks the candidate .,the candidate is asked by the buddy .,The planet shimmered above the valley .,involving_event,did_to,mary_answered,agent_first,"There was a dragging event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""A daughter dragged a doctor.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was a dragging event involving a daughter and a doctor.
The one who did it was a daughter.
The one it happened to was a doctor.

Bridget asked, ""What happened?""
Mary answered, ""A doctor was dragged by a daughter.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The planet shimmered above the valley.""

There was an asking event involving the buddy and the candidate.
The one who did it was the buddy.
The one it happened to was the candidate.

Bridget asked, ""What happened?""
Mary answered, ""The"
