prompt_column,prime_condition,argument_structure_inferred_final,n_items,total_items,share
prompt_active,active,active_monotransitive_patient,1796,2048,0.876953125
prompt_active,active,active_monotransitive_theme,71,2048,0.03466796875
prompt_active,active,active_nonobject,16,2048,0.0078125
prompt_active,active,passive_like,5,2048,0.00244140625
prompt_active,active,unknown,160,2048,0.078125
prompt_filler,filler,active_ditransitive_prepositional,2,2048,0.0009765625
prompt_filler,filler,active_monotransitive_patient,586,2048,0.2861328125
prompt_filler,filler,active_monotransitive_theme,10,2048,0.0048828125
prompt_filler,filler,active_nonobject,380,2048,0.185546875
prompt_filler,filler,copular_like,21,2048,0.01025390625
prompt_filler,filler,passive_like,796,2048,0.388671875
prompt_filler,filler,unknown,253,2048,0.12353515625
prompt_no_prime,no_prime,active_ditransitive_prepositional,16,2048,0.0078125
prompt_no_prime,no_prime,active_monotransitive_patient,579,2048,0.28271484375
prompt_no_prime,no_prime,active_monotransitive_theme,23,2048,0.01123046875
prompt_no_prime,no_prime,active_nonobject,20,2048,0.009765625
prompt_no_prime,no_prime,copular_like,386,2048,0.1884765625
prompt_no_prime,no_prime,multiclause,30,2048,0.0146484375
prompt_no_prime,no_prime,passive_like,400,2048,0.1953125
prompt_no_prime,no_prime,unknown,594,2048,0.2900390625
prompt_passive,passive,active_monotransitive_patient,382,2048,0.1865234375
prompt_passive,passive,active_monotransitive_theme,9,2048,0.00439453125
prompt_passive,passive,active_nonobject,17,2048,0.00830078125
prompt_passive,passive,copular_like,1,2048,0.00048828125
prompt_passive,passive,passive_like,1592,2048,0.77734375
prompt_passive,passive,unknown,47,2048,0.02294921875
