item_index,prompt_template,prime_condition,prime_structure,prime_sentence,target_active,target_passive,agent_det,agent_noun,patient_det,patient_noun,verb_lemma,active_verb_form,passive_verb_form,message_role_order_json,prompt,sentence_stub,choice_target,quote_style,event_style,role_style,active_choice_logprob,passive_choice_logprob,passive_minus_active_logprob,chosen_structure,passive_choice_indicator
0,demo__there_was_event__responsible_affected__mary_answered,active,active,a minister discovers a mother .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=mary_answered"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister discovers a mother.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,responsible_affected,-2.6873984336853027,-6.258711814880371,-3.5713133811950684,active,0.0
0,demo__there_was_event__responsible_affected__mary_answered,passive,passive,a mother is discovered by a minister .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=mary_answered"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is discovered by a minister.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,responsible_affected,-2.07682466506958,-4.67323112487793,-2.5964064598083496,active,0.0
0,demo__there_was_event__responsible_affected__mary_answered,no_demo,no_demo,,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=mary_answered"", ""event=striking""]","A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,responsible_affected,-1.9688260555267334,-2.7975823879241943,-0.8287563323974609,active,0.0
0,demo__there_was_event__responsible_affected__mary_answered,filler,filler,,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=mary_answered"", ""event=striking""]","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
Mary answered, ""The lantern glowed near sunset.""

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,responsible_affected,-3.575934886932373,-2.8497071266174316,0.7262277603149414,passive,1.0
0,demo__there_was_event__responsible_affected__said_mary,active,active,a minister discovers a mother .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=said_mary"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
""A minister discovers a mother."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The","""The",first_noun,said_mary,there_was_event,responsible_affected,-2.5169758796691895,-6.729060649871826,-4.212084770202637,active,0.0
0,demo__there_was_event__responsible_affected__said_mary,passive,passive,a mother is discovered by a minister .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=said_mary"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The responsible person was a minister.
The affected person was a mother.

Bridget asked, ""What happened?""
""A mother is discovered by a minister."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The","""The",first_noun,said_mary,there_was_event,responsible_affected,-2.1093969345092773,-5.1684794425964355,-3.059082508087158,active,0.0
0,demo__there_was_event__responsible_affected__said_mary,no_demo,no_demo,,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=said_mary"", ""event=striking""]","A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The","""The",first_noun,said_mary,there_was_event,responsible_affected,-2.2149746417999268,-2.9464056491851807,-0.7314310073852539,active,0.0
0,demo__there_was_event__responsible_affected__said_mary,filler,filler,,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=responsible_affected"", ""quote_style=said_mary"", ""event=striking""]","In another scene, something unrelated happened.
Bridget asked, ""What happened?""
""The lantern glowed near sunset."" said Mary.

A husband and a kid were involved in the same event.
There was a striking event.
The responsible person was a husband.
The affected person was a kid.

Bridget asked, ""What happened?""
""The","""The",first_noun,said_mary,there_was_event,responsible_affected,-3.564500570297241,-2.9330432415008545,0.6314573287963867,passive,1.0
0,demo__there_was_event__did_to__mary_answered,active,active,a minister discovers a mother .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=did_to"", ""quote_style=mary_answered"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A minister discovers a mother.""

A husband and a kid were involved in the same event.
There was a striking event.
The one who did it was a husband.
The one it happened to was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,did_to,-1.890716552734375,-4.62072229385376,-2.7300057411193848,active,0.0
0,demo__there_was_event__did_to__mary_answered,passive,passive,a mother is discovered by a minister .,a husband strikes a kid .,a kid is struck by a husband .,a,husband,a,kid,strike,strikes,struck,"[""event_style=there_was_event"", ""role_style=did_to"", ""quote_style=mary_answered"", ""event=striking""]","A minister and a mother were involved in the same event.
There was a discovering event.
The one who did it was a minister.
The one it happened to was a mother.

Bridget asked, ""What happened?""
Mary answered, ""A mother is discovered by a minister.""

A husband and a kid were involved in the same event.
There was a striking event.
The one who did it was a husband.
The one it happened to was a kid.

Bridget asked, ""What happened?""
Mary answered, ""The","Mary answered, ""The",first_noun,mary_answered,there_was_event,did_to,-1.436119556427002,-3.7200865745544434,-2.2839670181274414,active,0.0
